pj_no	jukyo	chiseki_js_hb	chiseki_kb_hb	yoto1	yoto2	kempei1	kempei2	yoseki1	yoseki2	josui	gesui	gas	usui	tateuri_su	tochiuri_su	joken_su	hy1f_date_su	hy2f_date_su	hy3f_date_su	road1_hk	road1_sb	road1_fi	road1_mg	road2_hk	road2_sb	road2_fi	road2_mg	road3_hk	road3_sb	road3_fi	road3_mg	road4_hk	road4_sb	road4_fi	road4_mg	kaoku_um	kaoku_hb	yheki_kotei	yheki_umu	yheki_yohi	gk_sho_kyori	gk_chu_kyori	kborjs	hw_status	toshikuiki1	toshikuiki2	kodochiku	chikukeikaku	keikakuroad	kaihatsukyoka	t53kyoka	hokakyoka	bokachiiki	minmenseki	hokakisei1	hokakisei2	hokakisei3	hokakisei4	kinshijiko	rosenka_hb	koji_hb	kijun_hb	mseki_yt_hb	mseki_rd_hb	mseki_dp_hb	tc_mseki_min_hb	tc_mseki_max_hb	tt_mseki_min_hb	tt_mseki_max_hb	tc_mseki_avg_hb	tt_mseki_avg_hb	fi4m_yohi	fi3m_yohi	fi4m_kyori	fi3m_kyori	bus_yohi	bus_hon	sho_conv	sho_super	sho_shoten	sho_market	shu_jutaku	shu_park	shu_shop	shu_factory	shu_hvline	shu_tower	shu_bochi	shu_sogi	shu_zoki	shu_kokyo	shu_highway	shu_kaido	shu_line_ari	shu_line_nashi	shu_soon	gk_yoc_tm	gk_sho_tm	gk_chu_tm	rs_e_kdate2	rs_e_kdate3	rs_e_parking	rs_e_zoki	rs_e_m_ari	rs_e_m_nashi	rs_e_tahata	rs_w_kdate2	rs_w_kdate3	rs_w_parking	rs_w_zoki	rs_w_m_ari	rs_w_m_nashi	rs_w_tahata	rs_s_kdate2	rs_s_kdate3	rs_s_parking	rs_s_zoki	rs_s_m_ari	rs_s_m_nashi	rs_s_tahata	rs_n_kdate2	rs_n_kdate3	rs_n_parking	rs_n_zoki	rs_n_m_ari	rs_n_m_nashi	rs_n_tahata	rosen_nm1	eki_nm1	bas_toho1	eki_kyori1	bastei_nm1	teiho1	rosen_nm2	eki_nm2	bas_toho2	eki_kyori2	bastei_nm2	teiho2
2209	埼玉県さいたま市西区大字宝来	494.15	494.15	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	4.0	0.0	0.0	0.0	4.0	0.0	南	公道	6.0	42.8			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	1.5	（無）	（要）	1570	2000	実測	更地	市街化区域		その他	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	93000	118000	175000	494.15	0.0	0.0	121.39	121.39	99.2	99.2	123.53	99.2	（不要）	（不要）	0.0	0.0	（不要）		○				○															5.0	20	25														○	○													○	JR川越線	指扇	徒歩	6								
2210	埼玉県さいたま市岩槻区宮町	198.0	198.0	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	東	私道	4.0	10.9			0.0	0.0			0.0	0.0			0.0	0.0	（有）	175.0	0.6	（無）	（不要）	450	1540	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域		景観法				（無）	0	88200	88200	175.0	23.0	0.0	175.0	175.0	95.0	95.0	175.0	95.0	（不要）	（不要）	0.0	0.0	（不要）		○	○			○															5.0	6	20								○							○							○							東武野田線	岩槻	徒歩	17								
2211	埼玉県越谷市東越谷	412.19	447.1	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	4.0	0.0	0.0	0.0	4.0	0.0	西	公道	8.0	17.7	南	公道	4.0	21.2			0.0	0.0			0.0	0.0	（有）	174.77	0.3	（有）	（要）	1000	880	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	22条区域	100.0					（無）	115000	149000	149000	412.19	0.0	0.0	100.0	112.1	95.87	95.87	103.04	95.87	（不要）	（不要）	0.0	0.0	（不要）		○				○															14.0	13	11	○							○							○							○							東武伊勢崎線	越谷	徒歩	13								
2212	埼玉県三郷市彦沢	231.5	231.5	第一種住居地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	北西	公道	4.6	10.9			0.0	0.0			0.0	0.0			0.0	0.0	（有）	90.47	0.3	（無）	（不要）	1440	2160	実測	造成上り	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域	120.0					（無）	69000	84500	69000	231.5	0.0	0.0	111.15	120.34	96.05	96.88	115.75	96.46	（不要）	（不要）	0.0	0.0	（不要）						○															4.0	18	27	○														○							○							首都圏新都市鉄道つくばエクスプレス	三郷中央	徒歩	36								
2213	埼玉県川口市大字里字北谷	109.0	110.67	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南	公道	6.0	9.1			0.0	0.0			0.0	0.0			0.0	0.0	（有）	76.16	0.1	（無）	（不要）	490	730	公簿	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域	0.0	区画整理法				（無）	0	137000	191000	109.0	0.0	0.0	109.0	109.0	105.57	105.57	109.0	105.57	（不要）	（不要）	0.0	0.0	（不要）		○				○															12.0	7	10	○							○																○					埼玉高速鉄道線	新井宿	徒歩	14								
2214	埼玉県北足立郡伊奈町寿	112.9	112.9	第一種住居地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	東	公道	4.0	7.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	280	1340	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	0	94200	97100	112.9	0.0	0.0	112.9	112.9	106.92	106.92	112.9	106.92	（不要）	（不要）	0.0	0.0	（不要）	0.0																				7.0	4	17																													埼玉新都市交通伊奈線【ニューシャトル】	羽貫	徒歩	6								
2215	埼玉県所沢市若狭	86.08	86.34	第一種低層住居専用地域		60	0.0	100	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	西	私道	4.3	8.9	南	私道	4.0	8.8			0.0	0.0			0.0	0.0	（有）	79.91	0.3	（無）	（不要）	720	2160	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	100000	127000	127000	86.08	0.0	0.0	86.08	86.08	86.0	86.0	86.08	86.0	（不要）	（不要）	0.0	0.0	（不要）						○															7.0	9	27	○																					○							西武池袋線	狭山ヶ丘	徒歩	13								
2216	埼玉県草加市弁天	196.45	195.84	第一種住居地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北	公道	3.6	10.7	東	公道	4.0	2.5			0.0	0.0			0.0	0.0	（有）	74.28	0.3	（無）	（不要）	480	1200	実測	造成上り	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域	100.0					（無）	92000	122000	113000	163.21	0.0	0.0	163.21	163.21	104.14	104.14	163.21	0.0	（不要）	（不要）	0.0	0.0	（不要）		○	○			○															5.0	6	15	○															○													東武伊勢崎線	松原団地	徒歩	14								
2217	埼玉県深谷市東方町	389.68	389.68	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	西	公道	4.0	17.6			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.4	（無）	（不要）	250	2100	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	46000	58200	58300	389.68	0.0	0.0	168.9	220.78	106.81	117.58	194.84	112.19	（不要）	（不要）	0.0	0.0	（不要）						○															1.0	4	27	○														○							○							JR高崎線	籠原	車	8								
2218	埼玉県所沢市山口	141.54	141.0	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北	公道	2.7	9.9			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	2.0	（無）	（不要）	850	1100	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	防火指定無						（無）	87000	151000	151000	141.54	0.0	0.0	141.54	141.54	105.99	105.99	141.54	105.99	（不要）	（不要）	0.0	0.0	（不要）		○				○															13.0	11	14	○							○							○							○							西武池袋線	西所沢	徒歩	18								
2219	埼玉県上尾市大字地頭方字天神谷	264.99	264.99	第一種低層住居専用地域		60	0.0	200	0.0	公営	個別浄化槽	個別プロパン	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	南	公道	3.6	24.3	東	公道	3.0	9.7	西	私道	4.0	8.6			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	1040	720	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	53000	85500	95800	264.99	0.0	0.0	132.49	132.5	99.18	99.18	132.49	99.36	（不要）	（不要）	0.0	0.0	（要）	10.0																				7.0	13	9																						○							JR高崎線	上尾	バス	17		9.0						
2220	埼玉県所沢市大字山口	400.18	400.17	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	4.0	0.0	0.0	0.0	4.0	0.0	北	公道	4.0	25.6	西	公道	4.0	23.7			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	800	800	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	76000	142000	0	400.18	0.0	0.0	100.03	100.06	93.0	95.0	100.04	94.0	（不要）	（不要）	0.0	0.0	（不要）	0.0	○	○	○		○															15.0	10	10	○							○							○														西武池袋線	西所沢	徒歩	13								
2221	埼玉県さいたま市西区大字指扇	314.8	346.0	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	3.0	0.0	0.0	0.0	3.0	0.0	西	公道	4.0	19.2	北	公道	2.9	23.5			0.0	0.0			0.0	0.0	（無）	0.0	1.2	（無）	（要）	950	550	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	93000	125000	125000	314.8	0.0	0.0	100.87	109.48	95.88	95.88	104.93	95.88	（不要）	（不要）	0.0	0.0	（不要）		○				○															19.0	12	7	○							○							○														JR川越線	指扇	徒歩	14								
2222	埼玉県川越市かすみ野	223.88	223.81	第二種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	北西	公道	6.0	13.9			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.5	（無）	（不要）	240	1200	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	65000	81500	81500	223.81	0.0	0.0	111.91	111.96	98.53	101.01	111.9	99.77	（不要）	（不要）	0.0	0.0	（不要）		○				○															9.0	3	15	○							○							○							○							JR川越線	笠幡	徒歩	15								
2223	埼玉県さいたま市岩槻区大字小溝	106.09	106.09	指定のない区域		60	0.0	200	0.0	公営	個別浄化槽	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北	公道	6.0	8.9			0.0	0.0			0.0	0.0			0.0	0.0	（有）	106.09	0.6	（無）	（不要）	1400	2200	実測	更地	市街化調整区域		指定無	（無）	（無）	（不要）	（不要）	（要）	防火指定無		景観法				（無）	0	25300	25200	106.09	0.0	0.0	106.09	106.09	93.0	93.0	106.09	93.0	（不要）	（不要）	0.0	0.0	（要）	12.0					○															33.0	18	28	○							○							○							○							東武野田線	豊春	徒歩	26								
2224	埼玉県富士見市関沢	86.38	86.38	第一種低層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北	公道	3.8	7.8			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	400	480	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（要）	（不要）	22条区域						（無）	135000	171500	171500	86.38	0.0	0.0	86.38	86.38	91.0	91.0	86.38	91.0	（不要）	（不要）	0.0	0.0	（不要）						○															11.0	5	6	○							○							○							○							東武東上線	みずほ台	徒歩	13								
2225	埼玉県桶川市北	121.78	116.92	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北西	公道	4.7	11.4	北東	公道	3.5	11.3			0.0	0.0			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	480	1120	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	90000	113000	122000	116.92	0.0	0.0	121.78	121.78	99.57	99.57	116.92	99.57	（不要）	（不要）	0.0	0.0	（不要）						○															7.0	6	14								○							○														JR高崎線	桶川	徒歩	12								
2226	埼玉県北葛飾郡杉戸町大字下高野	195.59	195.59	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	北東	公道	6.0	13.9			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	720	1120	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	98000	189000	65900	195.59	0.0	0.0	97.79	97.8	107.65	110.12	97.79	108.88	（不要）	（不要）	0.0	0.0	（不要）		○				○															10.0	9	14	○							○							○							○							東武伊勢崎線	和戸	徒歩	17								
2227	埼玉県富士見市大字水子	1176.81	1176.81	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	4.0	4.0	0.0	0.0	4.0	0.0	東	公道	5.0	43.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	4.0	（有）	（不要）	700	400	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	100.0					（無）	115000	194000	195000	990.31	182.5	4.0	120.0	130.0	96.06	102.52	147.1	99.08	（不要）	（不要）	0.0	0.0	（不要）	0.0					○															5.0	9	5	○							○							○														東武東上線	みずほ台	徒歩	16								
2228	埼玉県川越市砂新田	72.08	72.08	第一種低層住居専用地域		50	0.0	100	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	西	公道	2.7	8.6	南	公道	5.5	6.9			0.0	0.0			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	1380	800	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	90500	82800	82800	72.08	0.0	0.0	72.08	72.08	71.08	71.08	72.08	71.08	（不要）	（不要）	0.0	0.0	（不要）						○															13.0	18	10	○																					○							東武東上線	新河岸	徒歩	19								
2229	埼玉県川口市安行原	125.33	125.33	第一種低層住居専用地域		50	0.0	100	0.0	公営	個別浄化槽	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北西	公道	5.0	8.2			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	780	420	実測	造成上り	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	22条区域		農地法	景観法	自然公園法		（無）	0	112000	112000	125.0	0.0	0.33	125.0	125.0	93.0	93.0	125.0	93.0	（不要）	（不要）	0.0	0.0	（要）	18.0	○				○															29.0	10	6															○														埼玉高速鉄道線	戸塚安行	徒歩	29								
2230	埼玉県所沢市和ヶ原	100.16	100.52	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南西	公道	4.0	7.6			0.0	0.0			0.0	0.0			0.0	0.0	（有）	78.66	0.2	（無）	（不要）	400	1760	実測	造成上り	市街化区域		第1種	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	87000	108000	113000	100.52	0.0	0.0	100.05	100.05	80.11	80.11	100.52	80.11	（不要）	（不要）	0.0	0.0	（不要）		○				○															20.0	5	22	○							○							○							○							西武池袋線	狭山ヶ丘	徒歩	20								
2231	埼玉県桶川市大字坂田字細谷	144.26	145.98	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	西	私道	4.0	11.9			0.0	0.0			0.0	0.0			0.0	0.0	（有）	99.34	0.2	（無）	（不要）	480	320	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	22条区域						（無）	68000	73300	83000	144.26	0.0	0.0	145.98	145.98	103.0	103.0	144.26	103.0	（不要）	（不要）	0.0	0.0	（要）	15.0					○															10.0	6	4	○														○							○							JR高崎線	桶川	バス	10		9.0						
2232	埼玉県春日部市藤塚	134.8	134.8	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南東	公道	4.0	12.3			0.0	0.0			0.0	0.0			0.0	0.0	（有）	90.25	0.3	（無）	（不要）	1320	740	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	22条区域	0.0					（無）	63000	72400	72400	134.8	0.0	0.0	134.8	134.8	97.55	97.55	134.8	97.55	（不要）	（不要）	0.0	0.0	（不要）			○			○															8.0	17	10	○							○							○							○							東武伊勢崎線	一ノ割	徒歩	23								
2233	埼玉県白岡市白岡	2324.03	2150.0	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	11.0	1.0	0.0	0.0	11.0	0.0	北	公道	3.1	10.6	南	公道	4.0	22.2			0.0	0.0			0.0	0.0	（無）	0.0	1.1	（無）	（不要）	1200	1840	実測	更地	市街化区域		指定無	（無）	（有）	（要）	（要）	（不要）	防火指定無	100.0					（無）	63000	72900	72900	2324.03	0.0	0.0	130.11	160.61	103.51	112.2	193.66	108.93	（不要）	（不要）	0.0	0.0	（不要）						○															10.0	15	23	○							○																					JR東北本線【宇都宮線】	白岡	徒歩	15								
2234	埼玉県川口市本町	194.17	176.33	準工業地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	3.0	0.0	0.0	0.0	0.0	3.0	南	私道	2.7	17.0			0.0	0.0			0.0	0.0			0.0	0.0	（有）	165.05	0.2	（無）	（不要）	320	780	実測	建物有	市街化区域		その他	（無）	（無）	（不要）	（要）	（不要）	準防火地域						（無）	320000	366000	430000	194.17	0.0	0.0	60.1	61.57	94.0	94.0	64.72	94.0	（不要）	（不要）	0.0	0.0	（不要）		○				○															10.0	4	10	○							○																			○		JR京浜東北線	川口	徒歩	6								
2235	埼玉県新座市西堀	527.98	527.98	第一種低層住居専用地域		60	0.0	100	0.0	公営	公共下水	都市ガス	宅内処理	5.0	0.0	0.0	0.0	5.0	0.0	北	公道	6.0	16.6	東	公道	5.5	30.4			0.0	0.0			0.0	0.0	（有）	132.08	0.8	（有）	（不要）	240	1760	公簿	造成上り	市街化区域		指定無	（有）	（無）	（不要）	（不要）	（不要）	22条区域	100.0					（無）	125000	162000	162000	527.98	0.0	0.0	100.09	117.59	94.4	100.19	105.59	97.21	（不要）	（不要）	0.0	0.0	（不要）						○	○														23.0	3	22								○																					西武池袋線	清瀬	徒歩	28								
2236	埼玉県八潮市緑町	200.02	200.02	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	南	公道	5.0	14.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.5	（無）	（不要）	650	800	公簿	更地	市街化区域		第2種	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	98000	117000	113000	200.02	0.0	0.0	100.01	100.01	92.34	99.63	100.01	95.98	（不要）	（不要）	0.0	0.0	（要）	15.0					○															12.0	9	10	○													○								○							首都圏新都市鉄道つくばエクスプレス	八潮	バス	15		3.0						
2237	埼玉県熊谷市赤城町	299.92	299.92	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	南	公道	6.0	16.8													（無）		0.2	（無）	（不要）	1700	450	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	50400	72000	72000	299.92	0.0	0.0	149.96	149.96	100.0	100.0	149.96	100.0	（不要）	（不要）	0.0	0.0	（不要）	0.0		○			○															22.0	22	6	○							○							○							○							秩父鉄道秩父本線	石原	徒歩	5			JR高崎線	熊谷	バス	5.0	堤公園入口	4.0
2238	埼玉県草加市稲荷	117.42	117.42	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	側溝	1.0	0.0	0.0	0.0	1.0	0.0	南	公道	6.0	9.4			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.4	（無）	（不要）	260	1300	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	防火指定無						（無）	91000	108000	121000	117.42	0.0	0.0	117.42	117.42	104.49	104.49	117.42	104.49	（不要）	（不要）	0.0	0.0	（不要）		○	○			○															2.0	4	17	○							○							○							○							東武伊勢崎線	草加	バス	20		2.0						
2239	埼玉県ふじみ野市桜ｹ丘	216.32	216.32	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	南西	公道	5.9	7.0	南東	公道	4.1	10.6			0.0	0.0			0.0	0.0	（無）	0.0	0.4	（無）	（不要）	800	720	公簿	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0	景観法				（無）	115000	130000	148000	216.32	0.0	0.0	108.16	108.16	85.45	85.86	108.16	85.65	（不要）	（不要）	0.0	0.0	（要）	2.0					○															6.0	10	9	○							○							○							○							東武東上線	ふじみ野	徒歩	20					徒歩			
2240	埼玉県上尾市大字原市	427.73	971.76	第一種低層住居専用地域		50		80		公営	公共下水	都市ガス	宅内処理	2.0	1.0	0.0	0.0	2.0	0.0	南	私道	4.0	15.0			0.0	0.0			0.0	0.0			0.0	0.0	（有）	66.63	0.2	（無）	（不要）	600	1280	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	0	106000	101000	427.73	0.0	0.0	125.27	133.53	99.77	100.19	142.57	66.65	（不要）	（不要）	0.0	0.0	（不要）		○				○															5.0	8	16							○	○																○					埼玉新都市交通伊奈線【ニューシャトル】	吉野原	徒歩	10								
2241	埼玉県さいたま市岩槻区城町	355.02	355.02	第二種住居地域	第一種低層住居専用地域	60	50.0	200	80.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	西	公道	4.5	20.6			0.0	0.0			0.0	0.0			0.0	0.0	（有）	354.67	1.0	（有）	（不要）	900	900	実測	造成上り	市街化区域		その他	（無）	（無）	（不要）	（不要）	（要）	22条区域	100.0	景観法				（無）	0	83200	104000	354.67	0.0	0.35	155.32	199.35	93.0	93.0	177.33	93.0	（不要）	（不要）	0.0	0.0	（要）	54.0					○															7.0	12	12															○							○							東武野田線	岩槻	徒歩	24								
2242	埼玉県幸手市南	476.0	476.0	第一種住居地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	4.0	0.0	0.0	0.0	4.0	0.0	東	公道	4.0	16.5													（無）		0.1	（無）	（不要）	400	1500	公簿	造成上り	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	31800	62800	62900	464.0	12.0	0.0	108.0	127.0	93.0	99.0	119.0	96.5	（不要）	（不要）	0.0	0.0	（不要）	0.0																				25.0	5	19																													東武日光線	幸手	徒歩	8								
2243	埼玉県川越市大字的場	117.83	117.0	第一種低層住居専用地域		50	0.0	100	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	東	公道	4.2	11.4			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.5	（無）	（不要）	1040	1760	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域			農地法			（無）	105000	140000	158000	117.0	0.0	0.0	117.83	117.83	100.19	100.19	117.0	100.19	（不要）	（不要）	0.0	0.0	（不要）			○			○															16.0	13	22								○							○							○							東武東上線	霞ヶ関	徒歩	7								
2244	埼玉県さいたま市浦和区皇山町	108.66	107.73	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南	私道	4.0	9.6			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.4	（無）	（不要）	480	1040	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域	135.0					（無）	135000	215000	212000	91.8	15.93	0.0	108.66	108.66	106.82	106.82	91.8	106.82	（不要）	（不要）	0.0	0.0	（不要）						○															2.0	6	13	○							○														○							JR京浜東北線	与野	徒歩	21								
2245	埼玉県久喜市久喜東	168.92	168.88	第一種低層住居専用地域		60	0.0	100	0.0	公営	公共下水	都市ガス	公共下水	1.0	0.0	0.0	0.0	1.0	0.0	西	公道	3.6	15.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.1	（無）	（不要）	1100	1700	公簿	造成上り	市街化区域		第3種	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	68400	117000	102000	168.92	0.0	0.0	168.88	168.88	110.0	110.0	168.92	110.0	（不要）	（不要）	0.0	0.0	（不要）	0.0																				4.0	14	22																													JR東北本線【宇都宮線】	久喜	徒歩	6								
2246	埼玉県飯能市原町	204.0	204.0	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	南	公道	8.0	9.2	西	公道	5.8	10.8			0.0	0.0			0.0	0.0	（無）	0.0	0.4	（無）	（不要）	630	1480	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域		景観法				（無）	81000	103000	80000	204.0	0.0	0.0	102.0	102.0	93.0	93.0	102.0	93.0	（不要）	（不要）	0.0	0.0	（不要）		○	○			○															11.0	8	19	○														○							○							JR八高線(八王子～高麗川)	東飯能	徒歩	13								
2247	埼玉県飯能市大字双柳	335.68	336.04	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	南	私道	6.0	6.3	北	私道	6.0	3.1			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	600	600	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	0	86700	0	335.68	0.0	0.0	137.68	198.36	95.0	104.0	167.84	99.5	（不要）	（不要）	0.0	0.0	（不要）	0.0	○				○															28.0	8	8								○							○							○							西武池袋線	東飯能	徒歩	13								
2248	埼玉県入間市小谷田	272.65	276.12	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	北東	公道	4.0	13.6			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.7	（無）	（不要）	900	1300	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	77000	95000	81400	272.65	0.0	0.0	133.45	139.2	104.36	105.58	136.32	104.97	（不要）	（不要）	0.0	0.0	（要）	75.0	○	○			○			○												4.0	12	17	○							○							○							○							西武豊島線	入間市	バス	6		6.0						
